Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
314	9	Sol5	G5	349	349	1	16	208	95	96		39.000000
315	9	Sol5	G5	349	349	3	16	625	95	96		39.187500
316	9	Fa5#3	F5#4	343	344	1	16	208	95	96		39.250000
317	9	Fa5#3	F5#4	343	344	3	16	625	95	96		39.437500
318	9	Mi5	E5	336	336	1	16	208	95	96		39.500000
319	9	Mi5	E5	336	336	3	16	625	95	96		39.687500
320	9	Re5	D5	327	327	1	16	208	95	96		39.750000
321	9	La5	A5	358	358	1	16	208	95	96		39.812500
322	9	Sol5	G5	349	349	1	16	208	95	96		39.875000
323	9	Fa5#3	F5#4	343	344	1	16	208	95	96		39.937500
324	9	Sol5	G5	349	349	1	16	208	95	96		40.000000
325	9	La5	A5	358	358	1	4	833	95	96		40.250000
326	53			0	0	0	0	0	0	0		40.250000
327	9	Fa5#3	F5#4	343	344	1	8	417	95	96		40.375000
328	9	Sol5	G5	349	349	1	8	417	95	96		40.500000
329	9	Fa5#3	F5#4	343	344	1	4	833	95	96		40.750000
330	9	Mi5	E5	336	336	1	4	833	95	96		41.000000
331	9	Re5	D5	327	327	1	4	833	95	96		41.250000
332	9	Mi5	E5	336	336	1	16	208	95	96		41.312500
333	9	Sol5	G5	349	349	1	16	208	95	96		41.375000
334	9	Fa5#2	F5#1	342	341	1	16	208	95	96		41.437500
335	11	Mi5	E5	336	336	1	16	208	95	96		41.500000
336	9	Mi5	E5	336	336	1	2	1667	95	96		42.000000
337	53			0	0	0	0	0	0	0		42.000000
338	9	La5	A5	358	358	1	16	208	95	96	TESLİM	42.062500
339	9	Si5b2	B5b1	365	366	1	16	208	95	96		42.125000
340	9	Do6	C6	371	371	1	4	833	95	96		42.375000
341	9	Si5b2	B5b1	365	366	1	16	208	95	96		42.437500
342	9	La5	A5	358	358	1	16	208	95	96		42.500000
343	9	La5	A5	358	358	3	16	625	95	96		42.687500
344	9	Sol5	G5	349	349	1	16	208	95	96		42.750000
345	9	Fa5	F5	340	340	1	16	208	95	96		42.812500
346	9	Mi5	E5	336	336	1	16	208	95	96		42.875000
347	9	Fa5	F5	340	340	1	8	417	95	96		43.000000
348	53			0	0	0	0	0	0	0		43.000000
349	9	Mi5	E5	336	336	1	16	208	95	96		43.062500
350	9	Fa5	F5	340	340	1	16	208	95	96		43.125000
351	9	Sol5	G5	349	349	1	4	833	95	96		43.375000
352	9	La5	A5	358	358	1	8	417	95	96		43.500000
353	9	Sol5	G5	349	349	1	8	417	95	96		43.625000
354	9	Fa5	F5	340	340	1	8	417	95	96		43.750000
355	9	Mi5	E5	336	336	1	8	417	95	96		43.875000
356	9	Re5	D5	327	327	1	8	417	95	96		44.000000
357	53			0	0	0	0	0	0	0		44.000000
358	9	Do5	C5	318	318	1	8	417	95	96		44.125000
359	9	Re5	D5	327	327	1	4	833	95	96		44.375000
360	9	Mi5	E5	336	336	1	8	417	95	96		44.500000
361	9	Re5	D5	327	327	1	8	417	95	96		44.625000
362	9	Mi5	E5	336	336	1	8	417	95	96		44.750000
363	9	Re5	D5	327	327	1	8	417	95	96		44.875000
364	9	Do5	C5	318	318	1	8	417	95	96		45.000000
365	9	Sol5	G5	349	349	1	8	417	95	96		45.125000
366	9	Fa5	F5	340	340	1	8	417	95	96		45.250000
367	9	Mi5	E5	336	336	1	8	417	95	96		45.375000
368	9	Re5	D5	327	327	1	8	417	95	96		45.500000
369	9	Re5	D5	327	327	1	16	208	95	96		45.562500
370	9	Do5	C5	318	318	1	16	208	95	96		45.625000
371	9	Do5	C5	318	318	1	16	208	95	96		45.687500
372	9	Si4b2	B4b1	312	313	1	16	208	95	96		45.750000
373	9	Do5	C5	318	318	1	4	833	95	96		46.000000
374	53			0	0	0	0	0	0	0		46.000000
375	9	Sol4	G4	296	296	1	8	417	95	96		46.125000
376	9	Do5	C5	318	318	1	4	833	95	96		46.375000
377	9	Re5	D5	327	327	1	8	417	95	96		46.500000
378	9	Mi5	E5	336	336	1	2	1667	95	96		47.000000
379	53			0	0	0	0	0	0	0		47.000000
380	9	Re5	D5	327	327	3	16	625	95	96		47.187500
381	9	Mi5	E5	336	336	1	16	208	95	96		47.250000
382	9	Fa5	F5	340	340	1	8	417	95	96		47.375000
383	9	Sol5	G5	349	349	1	8	417	95	96		47.500000
384	9	Mi5	E5	336	336	1	8	417	95	96		47.625000
385	9	Fa5	F5	340	340	1	8	417	95	96		47.750000
386	9	Re5	D5	327	327	1	8	417	95	96		47.875000
387	9	Mi5	E5	336	336	1	8	417	95	96		48.000000
388	9	Do5	C5	318	318	1	8	417	95	96		48.125000
389	9	Re5	D5	327	327	1	8	417	95	96		48.250000
390	9	Do5	C5	318	318	1	8	417	95	96		48.375000
391	9	Si4b2	B4b1	312	313	1	8	417	95	96		48.500000
392	9	Do5	C5	318	318	3	16	625	95	96		48.687500
393	9	Si4b2	B4b1	312	313	1	16	208	95	96		48.750000
394	9	La4	A4	305	305	1	4	833	95	96		49.000000
395	53			0	0	0	0	0	0	0		49.000000
396	9	Mi5	E5	336	336	1	16	208	95	96		49.062500
397	9	Fa5	F5	340	340	1	16	208	95	96		49.125000
398	9	Mi5	E5	336	336	1	16	208	95	96		49.187500
399	9	Fa5	F5	340	340	1	16	208	95	96		49.250000
400	9	La5	A5	358	358	1	16	208	95	96		49.312500
401	9	Sol5	G5	349	349	1	16	208	95	96		49.375000
402	9	Fa5	F5	340	340	1	16	208	95	96		49.437500
403	9	Mi5	E5	336	336	1	16	208	95	96		49.500000
404	9	Re5	D5	327	327	1	4	833	95	96		49.750000
405	9	Es	Es	-1	-1	1	4	833	100	0		50.000000
406	53			0	0	0	0	0	0	0		50.000000
407	9	Do5	C5	318	318	3	16	625	95	96		50.187500
408	9	Re5	D5	327	327	1	16	208	95	96		50.250000
409	9	Mi5	E5	336	336	1	4	833	95	96		50.500000
410	9	Re5	D5	327	327	1	16	208	95	96		50.562500
411	9	Mi5	E5	336	336	1	16	208	95	96		50.625000
412	9	Re5	D5	327	327	1	16	208	95	96		50.687500
413	9	Mi5	E5	336	336	1	16	208	95	96		50.750000
414	9	Sol5	G5	349	349	1	16	208	95	96		50.812500
415	9	Fa5	F5	340	340	1	16	208	95	96		50.875000
416	9	Mi5	E5	336	336	1	16	208	95	96		50.937500
417	9	Re5	D5	327	327	1	16	208	95	96		51.000000
418	9	Do5	C5	318	318	1	4	833	95	96		51.250000
419	9	Es	Es	-1	-1	1	4	833	100	0		51.500000
420	53			0	0	0	0	0	0	0		51.500000
421	9	Si4b2	B4b1	312	313	3	16	625	95	96		51.687500
422	9	Do5	C5	318	318	1	16	208	95	96		51.750000
423	9	Re5	D5	327	327	1	4	833	95	96		52.000000
424	9	Do5	C5	318	318	3	16	625	95	96		52.187500
425	9	Re5	D5	327	327	1	16	208	95	96		52.250000
426	9	Mi5	E5	336	336	1	8	417	95	96		52.375000
427	9	Re5	D5	327	327	1	16	208	95	96		52.437500
428	9	Do5	C5	318	318	1	16	208	95	96		52.500000
429	9	Si4b2	B4b1	312	313	1	8	417	95	96		52.625000
430	9	Do5	C5	318	318	1	8	417	95	96		52.750000
431	9	Re5	D5	327	327	1	8	417	95	96		52.875000
432	9	Do5	C5	318	318	1	16	208	95	96		52.937500
433	9	Si4b2	B4b1	312	313	1	16	208	95	96		53.000000
434	9	La4	A4	305	305	1	8	417	95	96		53.125000
435	9	Si4b2	B4b1	312	313	1	8	417	95	96		53.250000
436	9	Re5	D5	327	327	1	16	208	95	96		53.312500
437	9	Do5	C5	318	318	1	16	208	95	96		53.375000
438	9	Si4b2	B4b1	312	313	1	16	208	95	96		53.437500
439	9	La4	A4	305	305	1	16	208	95	96		53.500000
440	9	Sol4	G4	296	296	1	8	417	95	96		53.625000
441	9	La4	A4	305	305	1	8	417	95	96		53.750000
442	9	Si4b2	B4b1	312	313	1	8	417	95	96		53.875000
443	9	Do5	C5	318	318	1	8	417	95	96		54.000000
444	9	Re5	D5	327	327	3	16	625	95	96		54.187500
445	9	Do5	C5	318	318	1	16	208	95	96		54.250000
446	9	Si4b2	B4b1	312	313	1	8	417	95	96		54.375000
447	9	Do5	C5	318	318	1	8	417	95	96		54.500000
448	9	Si4b2	B4b1	312	313	1	4	833	95	96		54.750000
449	9	La4	A4	305	305	1	4	833	95	96		55.000000
450	9	Sol4	G4	296	296	1	4	833	95	96		55.250000
